p1,p2,p3,p4,p5,p6,p7,c1,c2,c3,c4,c5
15,144,B1jxQ9ZVrS,0,79,79,K04dibhL89,False,False,False,True,False
135,284,vV0DiEgIL8,1,121,216,IzCJvnw0Z6,False,False,True,True,False
298,36,UFbXt38HnD,1,196,81,JlH78vLah4,False,False,True,True,False
94,242,FKya0WZeCo,1,163,14,srwGBRO5Ha,False,False,True,True,False
85,19,B5LWhXl2rE,1,283,39,587jEsrBDb,False,True,True,True,False
0,174,6yCb7OqYc2,0,174,242,4obwhVTRUz,False,False,False,True,False
207,11,om9gRazcfn,1,79,252,D9P4Hm37Q0,False,False,True,True,False
16,73,mKjFIeyu8N,1,53,114,HjS1GKX7U0,False,False,True,True,False
201,8,LwWGgC5tzl,1,4,220,NoIs9XQePF,False,False,True,False,False
225,0,0fKhWUnT7J,0,290,77,u860bRAxoy,False,True,False,False,False
182,119,cykIsPCgzl,0,285,98,26wTh95cl3,False,True,False,True,False
12,284,BL5UdP8Rli,1,251,95,ndZulYyQeb,False,True,True,True,False
154,91,jfxGuSHs5W,1,91,54,wLkUXseY7N,False,False,True,True,False
156,182,O7DL2aJYZM,0,23,75,CYgoOmdXG1,False,False,False,True,False
4,120,ol1JpSBGzy,1,69,92,IcVKwfgi4T,False,False,True,True,False
159,297,k2UhXcZT36,0,286,195,pPz5gDaCyb,False,True,False,True,False
57,239,T7kSXa4BCL,1,285,127,lLgqiNOJ7D,False,True,True,True,False
150,50,zGoS3K5RJC,1,188,245,A39HmrqjLy,False,False,True,True,False
287,48,Ibqi7reM5y,0,69,292,WZIj4a3hbT,True,False,False,True,False
148,112,XM0U6yZ5tv,1,201,202,CGd62zmVlP,False,True,True,True,False
40,114,p1E7RKV2tx,1,109,2,jwVHQAFDfZ,False,False,True,True,False
229,196,GHorcTRXwV,0,235,148,rGNs7QTXHf,False,True,False,True,False
135,228,m6oRGkKbxD,0,226,113,1ud0iDLSxK,False,True,False,True,False
81,28,E10PHQqBOS,1,160,251,lOeukDxshf,False,False,True,True,False
160,209,eIjQydqtE6,0,269,90,6IKTnjOQzX,False,True,False,True,False
224,116,uKBt1MnUFX,0,249,6,LZ5jxTFiOG,False,True,False,True,False
229,185,pwbRsr9ld0,1,270,166,gFx2ZqHhUS,False,True,True,True,False
160,37,UIcb2jt4no,0,288,288,EuZiY3d1kT,False,True,False,True,False
158,162,vKC1r8Hicn,1,94,122,wfUnPczeIq,False,False,True,True,False
175,16,4m5EsI2DZt,0,282,54,3I48fzBLet,False,True,False,True,False
244,128,UAq9lrsfBp,0,283,190,J47fgiNaP5,False,True,False,True,False
35,151,qGQwgdXSRL,0,293,114,srgBPfCOeN,False,True,False,True,False
219,42,OBwa7uk6tP,0,169,187,hjXvKDUt5r,False,False,False,True,False
71,165,yEIYedoLrc,1,83,132,rtiaRGOmAv,False,False,True,True,False
27,188,L5SOIPmH4E,0,20,268,ikohstwZbC,False,False,False,True,False
131,88,5dGyDOUVQ9,0,209,142,N4HLp8SU1T,False,True,False,True,False
168,110,Zk3P7mBSh4,1,23,64,ChnyDoY2Fx,False,False,True,True,False
169,128,yRe8m2hs6i,0,181,20,NYsgEjILxy,False,False,False,True,False
28,173,SxsOGeHA54,1,110,84,iAz3CU7wpq,False,False,True,True,False
123,261,8yJQrHLlkT,0,136,154,qijk9XKtsc,False,False,False,True,False
169,249,9q4YCfK1MF,1,173,129,cyR1vX7IGo,False,False,True,True,False
85,109,GPutlOMkrB,1,17,232,93czH2BjZg,False,False,True,True,False
289,7,6UiaXMmRct,0,297,111,shYrVoLnta,False,True,False,False,False
166,187,nEsSbM0zFT,0,48,57,85eszNYKgF,False,False,False,True,False
196,249,dl9hQ4IJm6,0,6,211,rve9daNIfK,False,False,False,True,False
12,64,3roXFspUPK,1,22,53,SP3bF7MkqB,False,False,True,True,False
61,40,p9D4o6kfZJ,0,122,85,EjL9iy0sTl,False,False,False,True,False
115,112,0XEV9DnIO1,0,79,154,qr9byn4liz,False,False,False,True,False
112,216,xCP5FcGjJZ,0,111,22,PoneYupIJa,False,False,False,True,False
259,254,z28NqARFiZ,1,87,101,ic7B9aPdjs,False,False,True,True,False
245,101,QNperHdL0g,1,79,27,NALhxF5CuO,False,False,True,True,False
100,15,79GXwV2WDl,1,60,214,8WcEfoyVqp,False,False,True,True,False
151,165,6L34Dr1ixe,1,162,183,8RSH0YQLX9,False,False,True,True,False
24,14,3OLw7qzcSe,1,209,103,5hpJtbHNux,False,True,True,True,False
176,170,TfXC9lInZ4,0,230,138,x5KGE0ZvNj,False,True,False,True,False
195,283,LYdFiWRBbg,1,198,238,E7WGglRovj,False,False,True,True,False
249,252,jHsiv51Zux,0,67,126,chfbNjpoBO,False,False,False,True,False
27,269,iT7G5Umr0n,1,224,295,BDvo79mUpG,False,True,True,True,False
193,72,B2YcJeAnbL,1,28,256,6EqwBpYhQj,False,False,True,True,False
233,281,vYIOXU2iG0,0,31,293,pt7hYED3J5,True,False,False,True,False
197,90,MFoxuGrStW,0,33,292,0KW1Drlwms,False,False,False,True,False
132,39,QbfKNGxy57,1,20,242,evym1kLUbd,False,False,True,True,False
185,131,KbpVmUOo6j,0,233,156,4vad9bj5Wn,False,True,False,True,False
269,258,cCKTyqdAIa,0,287,251,8h3YwQkjsT,True,True,False,True,False
290,63,fQqKuVvnri,0,271,259,eoK96TNhy0,True,True,False,True,False
143,157,efAuzLP2pV,0,270,184,1Pl0qMHoRN,False,True,False,True,False
131,91,ActfyJMEXk,0,243,12,Gl8mDIiqFk,False,True,False,True,False
201,37,IKYGjBxQ4t,0,183,155,onT9g2B7sG,False,False,False,True,False
232,95,xS9hGyuert,1,133,95,swmLhtX594,False,False,True,True,False
83,59,KGlAQojkRn,1,236,172,2l8fqDvUty,False,True,True,True,False
13,48,EpAxn9J3rC,0,133,9,OSqLnNIaM2,False,False,False,True,False
98,284,mPH6GNnhI1,0,40,114,5vMO8bL1ej,False,False,False,True,False
195,182,r7yBS0R3F6,1,32,245,jVKeoQapzJ,False,False,True,True,False
132,134,MR5E8AHKBd,1,99,152,AXhu1x2bjp,False,False,True,True,False
6,52,mxhGeLwPyJ,0,69,253,DJ7cP52lRy,False,False,False,True,False
54,49,KUCiwLA9uM,1,70,272,PYpw5rNT0f,False,False,True,True,False
74,230,qKitzrGyLX,0,295,220,oUTLVFrDZN,False,True,False,True,False
294,172,xbUCvKatEN,1,154,233,2r3O604HdQ,True,False,True,True,False
296,271,09YhGM51IL,1,11,206,Yq4DUPbOVB,True,False,True,True,False
235,198,WqvOtdI45A,0,294,80,ulmH57GBL3,False,True,False,True,False
86,136,VQyaTI4vFA,0,57,158,SP2Vtvf35M,False,False,False,True,False
152,108,FQzXSO3lWn,1,149,146,7xe58E4VOw,False,False,True,True,False
232,158,635vBNcfPn,1,230,185,zJusSW8lIo,False,True,True,True,False
30,237,lP39NqF65J,1,243,241,U395bcy8zw,False,True,True,True,False
280,280,Jhw60uts13,1,92,72,BSnwzDtUTV,False,False,True,True,False
10,273,yMgrW6RVJL,0,275,55,fScDTC5t1v,False,True,False,True,False
142,192,9pqtaoJj8K,0,47,254,WJED5uZzHv,False,False,False,True,False
121,43,vNmJRz83Wn,1,77,72,5Ys9fvcTQa,False,False,True,True,False
42,78,SAYjLoDH6b,1,250,173,HrPoeMvpUE,False,True,True,True,False
135,157,9GhXy1UoNe,0,120,48,vauLORgslN,False,False,False,True,False
97,7,qZwNoBQ8Ef,0,140,258,YGtyqOI3Cg,False,False,False,False,False
145,115,LdfwcU7YFy,0,11,32,WejDmNic4u,False,False,False,True,False
245,45,yUCmz9wlSq,0,253,105,HXSuc3kmYW,False,True,False,True,False
237,225,f7A1lZWmkE,0,196,69,jkcRlFW65L,False,False,False,True,False
31,290,EvOlNnxmfe,0,240,205,AD1lWCsJ6q,False,True,False,True,False
104,174,4mA08xFceI,0,116,155,a1SCphZFmT,False,False,False,True,False
41,199,1PEaHuU9gf,0,204,284,3pbm6YLfH4,False,True,False,True,False
105,31,tOJQriTl5H,0,76,84,2s5HAbK6YC,False,False,False,True,False
262,108,DjVz4gHG08,0,125,89,jyxuThdNmX,False,False,False,True,False
66,138,4G7Qfeo3Ot,1,295,234,z0TOq9MlCc,False,True,True,True,False
62,48,wZ4O08MivV,1,104,258,tfsO4oNAg8,False,False,True,True,False
287,15,pL5GXnvRjk,0,83,274,1z83kHY7QE,True,False,False,True,False
92,264,A8spRjf2Dv,0,115,251,0gf31y9lWe,False,False,False,True,False
230,20,zijFNIPE7k,0,270,228,0FsLrxwhRi,False,True,False,True,False
111,236,cwj3TkiMrH,1,229,66,6IchaExlCW,False,True,True,True,False
41,95,RZaB4dxpYT,0,5,261,eGqWCmkwSz,False,False,False,True,False
140,236,jDyg2sxWpb,1,160,97,NEChSAkg2M,False,False,True,True,False
256,35,xRcqH60tZr,0,6,287,aw0qPlWRCM,True,False,False,True,False
245,293,ClgSM3UcOX,1,142,171,75uAg8yY3Q,False,False,True,True,False
24,250,7MwtYGXkzp,0,127,31,DgbFGMu1HV,False,False,False,True,False
142,104,TPxpAiOK7U,0,18,233,xRyZQUw3Dp,False,False,False,True,False
145,268,ZbX4YitRWI,0,44,11,xTb69zoNle,False,False,False,True,False
120,15,58Z7O9iLmg,1,198,111,rYMqUfxzFt,False,False,True,True,False
227,80,rxm1A04FlR,0,23,139,G2rqg7maOW,False,False,False,True,False
122,245,3qZPmRBgH0,0,162,68,c5xmbKPujq,False,False,False,True,False
78,140,quionFPwUk,0,92,207,OKv95oBZ6F,False,False,False,True,False
126,87,kmKQ4lUejI,1,63,266,rbTduV1iRx,False,False,True,True,False
189,45,I5NnHAdq72,0,256,292,gkMvqFnEPQ,False,True,False,True,False
240,228,snB2xTa5cV,0,225,10,GzwXtgpU7e,False,True,False,True,False
235,8,sZNDcWIF6d,0,214,229,9fhou2yYNV,False,True,False,False,False
34,237,f7pPa2tCeG,1,216,275,JaSZcyElNs,False,True,True,True,False
25,151,cN591aTPHj,0,247,21,Hg6QfjMsLW,False,True,False,True,False
216,107,e1IZ09nTBu,1,207,52,xW0mvn8UcM,False,True,True,True,False
147,9,LP1KqeH0Gp,0,230,134,01d7vYoNwp,False,True,False,False,False
168,101,AQVNbUK957,0,4,13,sH95DheI4z,False,False,False,True,False
215,192,EQw30P7dIT,0,82,56,XVkAYRvzLG,False,False,False,True,False
285,251,CRqdsOFuk5,0,239,156,DcEzMgah2N,False,True,False,True,False
148,202,z8TEktLaR6,0,91,155,cSvO15yB2R,False,False,False,True,False
15,104,devgt5jZRf,0,173,7,aUDXCsqNbG,False,False,False,True,False
95,183,qvrBAJzpE3,1,94,129,n9LM7ruisl,False,False,True,True,False
269,206,RkTdSuvgH5,0,193,150,0KLnzi1QCk,False,False,False,True,False
86,141,Nc6RM7siBz,1,58,38,voXbBfmcyg,False,False,True,True,False
132,78,VXjtKCof6q,0,21,262,gjF10HPKkE,False,False,False,True,False
267,191,rt6oIKMfaw,1,138,106,vxhl0AHqup,False,False,True,True,False
123,34,RDPAfvB31s,0,132,181,hz1xtfAnmW,False,False,False,True,False
109,37,nOL49lz6BX,0,79,283,Mi1chZLYye,False,False,False,True,False
177,294,Ztl8odFIk7,1,283,163,yUQJ3C2HvS,False,True,True,True,False
234,230,eP30Q5qlGi,1,150,232,YbEQUrwADW,False,False,True,True,False
48,280,jkWbHNioVR,1,194,25,uxpNDcGl8a,False,False,True,True,False
285,66,CI8Pqpal2F,1,154,228,Uzr1vh6BXC,True,False,True,True,False
255,85,xmCWNInKus,0,181,46,048bNzskIC,False,False,False,True,False
103,90,IGeplJafqk,1,286,24,xzensiYWfq,False,True,True,True,False
240,255,b37qBmn50h,0,127,135,Lu2SIMZrXd,False,False,False,True,False
56,57,cxyeJhXNkZ,0,101,166,RwFVXEyBa5,False,False,False,True,False
81,80,YszuQ8OP2N,1,138,12,SVJYnMb5aj,False,False,True,True,False
178,80,yLmlz2XQfo,1,152,196,MeCquXYl6p,False,False,True,True,False
130,48,D2jq8ZxEwo,0,137,155,Kx3J0hGHqQ,False,False,False,True,False
7,280,tGQnf6hqgv,1,140,76,BmsiyQ8AuE,False,False,True,True,False
155,238,ThwmnOACvc,1,40,264,wCkYvLVIlM,False,False,True,True,False
71,148,Ye5IvNPlVJ,0,16,196,i9VJxgWcNO,False,False,False,True,False
196,70,BhgCFfioGU,1,138,217,8RO0NHjaAM,False,False,True,True,False
162,99,8QhdLFzPpW,0,18,105,C1cZbYIpO2,False,False,False,True,False
97,208,0kaVOtQs5j,1,31,131,PRNgKvJYQ2,False,False,True,True,False
289,146,WTvjhIYEqs,0,42,250,OJ3rNUylB0,True,False,False,True,False
96,139,TqpFjrxPt5,1,257,185,6P5XZS80mo,False,True,True,True,False
84,11,6lRHyeq1Zc,1,28,52,UkeutPcDGJ,False,False,True,True,False
77,220,iZjON271XI,0,206,120,pvdK3zCxPV,False,True,False,True,False
168,20,HivCPe9Fzx,0,212,102,lCEWz59dej,False,True,False,True,False
244,14,kgJmywOWl4,1,112,204,qNQ2Vb8ERe,False,False,True,True,False
220,224,wEzlC7QLHB,1,249,55,oLElF0TeWP,False,True,True,True,False
244,106,uFY8AWhmrD,1,140,52,Y2EW08aeym,False,False,True,True,False
7,87,ECcInsQtaj,0,229,24,FPM8oI0t7q,False,True,False,True,False
10,53,Qp1YtHL8WE,0,35,189,pxXGNJnT1P,False,False,False,True,False
77,69,LPerdSU2tQ,1,172,140,kjbXhImPHa,False,False,True,True,False
168,239,7Jda5POjEI,0,204,28,9RMGm7Ch62,False,True,False,True,False
214,293,X730gMRZSm,1,131,222,EplQDI6Kun,False,False,True,True,False
221,296,s67dSiHJkB,0,157,105,Bc5MoJIhf6,False,False,False,True,False
128,299,rUEW5pizqZ,0,164,173,45St6mY7pQ,False,False,False,True,False
203,257,r8MOhvsLGA,1,243,115,cfP92snOez,False,True,True,True,False
111,136,pdAtg32n1u,0,5,92,XBQMgIPZ7K,False,False,False,True,False
160,70,nBbFgCJEVd,0,51,75,VQFxB3tbTs,False,False,False,True,False
26,256,er1w6bX8ol,1,76,206,FiNOR6CQ1e,False,False,True,True,False
288,67,pS3AXuNj9b,0,26,71,624kEGAH3o,False,False,False,True,False
166,123,YqZASyL1i2,0,288,56,wucBj789RN,False,True,False,True,False
282,226,Ki9Y5wNFEf,1,156,248,LqTMSXuUKO,True,False,True,True,False
78,71,iTS5u1Afdv,0,134,14,hNi3GMTokm,False,False,False,True,False
251,176,emMVwik9LC,0,144,272,1jZUDSsYyk,True,False,False,True,False
82,60,G4I2mzVh75,1,153,141,GPBIUJj2ix,False,False,True,True,False
251,208,9dCRH1pZ6D,0,74,3,QMNaGVuOUr,False,False,False,True,False
9,68,7LakHRvilD,1,217,59,vMrAPjiVTU,False,True,True,True,False
155,186,sk7ZdbrE0V,0,125,44,l1b3hHaQtM,False,False,False,True,False
262,155,T2DIXeCpMr,1,111,140,ZJVMsOvfXc,False,False,True,True,False
42,140,kRL5lz8hsg,0,148,286,mxneSwHihf,False,False,False,True,False
161,235,Fhq43JNrzc,1,177,90,eVz3X6L9n1,False,False,True,True,False
122,73,EJxDmF3TLZ,0,229,80,jPQcp0x5iA,False,True,False,True,False
5,193,FPBk8RnWq3,1,174,47,vtcrY98TbE,False,False,True,True,False
174,149,d4XhRiOSPc,0,265,21,Il39UVrcWD,False,True,False,True,False
12,78,OMxSaflQ0n,1,216,66,sJkpQRm8W4,False,True,True,True,False
232,133,cHz6vTbslB,1,126,9,1ZDjipwot7,False,False,True,True,False
242,107,PSahrC97li,0,101,9,fMyHNTsvzp,False,False,False,True,False
191,185,ZCGS0y9NBw,1,4,207,HbGR3JTSg9,False,False,True,True,False
12,75,Gs8COA4iP0,1,43,241,9sy2RQiXlb,False,False,True,True,False
42,273,ceVbMW1Eo8,0,235,67,9nyWutZ5lR,False,True,False,True,False
134,233,5W6Y80bMVN,0,39,184,xuVnN8Ka4E,False,False,False,True,False
213,88,plq65WDVF1,0,279,142,nBoh6s4U1z,False,True,False,True,False
152,14,HQBbwtETPX,1,206,229,qvOU9plMGX,False,True,True,True,False
146,274,b1qrSgx84s,1,185,99,sT5NI71zWc,False,False,True,True,False
197,172,TamBXIoeCp,0,102,154,fZEUGOn9YR,False,False,False,True,False
282,229,dLmVbQXlG7,1,137,186,HsaBkZVhwK,False,False,True,True,False
241,181,MqyEAGvTtx,1,168,130,F1WEeiJ3Yz,False,False,True,True,False
210,89,aeAnHpbcDT,0,4,135,EDMHt5CBeU,False,False,True,True,False
193,13,hQYaLX5UIn,1,165,204,6WSop4GcHN,False,False,True,True,False
185,235,uhlqBaXZyF,1,162,135,z7xlj45iD2,False,False,True,True,False
227,284,C3cbQtoHwf,1,154,86,I7vtBnPZx2,False,False,True,True,False
274,55,Q4fvwy1CX0,1,26,244,OZa2rVvPA3,True,False,True,True,False
9,144,qm8Je6ybFI,0,28,192,c71pgQYf4n,False,False,False,True,False
121,34,xFqz3QlvPI,0,286,33,guRZT9w7Ij,False,True,False,True,False
203,237,JWGLA2FOUn,0,195,255,mctCOYk31W,False,False,False,True,False
287,11,BNm0kXhnsy,1,191,136,hqZyl1UsuK,False,False,True,True,False
176,196,jEgRQfqkx9,1,100,85,qkBFPzJawf,False,False,True,True,False
67,99,kuLizpyf83,1,187,145,XlYGeKM8Uf,False,False,True,True,False
65,197,sMJ4aEzliR,1,160,160,yud0BvOz62,False,False,True,True,False
81,274,2bRmTwvcy6,0,222,222,QVaD4S9YOF,False,True,False,True,False
132,46,Ceoxb5kpDI,0,38,39,p5C3nciGZ1,False,False,False,True,False
140,129,7UPsbyXdCN,1,185,79,4x7YCP9I3A,False,False,True,True,False
274,145,AHxMQsjPyg,0,163,175,vaIz1CXKFA,False,False,False,True,False
23,192,sZadvcl9GT,0,63,144,Fe8hJEcnRU,False,False,False,True,False
219,206,X9fbHcJ1VT,1,128,225,zfXN2ig9dE,False,False,True,True,False
95,35,n23oFi9f1u,1,13,148,K7cxO35LHb,False,False,True,True,False
119,287,y2v4Z1zBtk,0,135,4,ZEP4fWxXVz,False,False,False,True,False
207,124,XIy3eVrSUw,1,73,85,d0W2r3pJYI,False,False,True,True,False
232,259,1XYEvFQbWC,1,127,27,Aq7uNUSoEP,False,False,True,True,False
5,258,uhxWpG3UlH,0,59,248,xabQneusID,False,False,False,True,False
211,121,k2h30XWKeJ,1,114,295,pvPCzaEuwX,True,False,True,True,False
119,138,A0oEwdRh4s,1,161,224,HbEaxd4mAP,False,False,True,True,False
16,170,D9mVtZCelF,1,232,281,Yo1AVySuE7,False,True,True,True,False
299,258,c3x9bu4ofr,1,165,137,nafJ6g49Nm,False,False,True,True,False
100,60,4cSFiekjB6,0,82,100,oMCOlqvsQ3,False,False,False,True,False
57,210,ouRjEr9Q3q,1,126,196,XcxvGmDl9W,False,False,True,True,False
236,61,Flcg5TKVdH,1,197,215,VkpT5ris2d,False,False,True,True,False
268,276,SdqyVKWZmf,0,156,196,yQ2U7M5Vl1,False,False,False,True,False
75,141,I30HPCrzdc,0,29,170,65hpr1OVB7,False,False,False,True,False
132,31,jMvIWXePQ0,1,184,50,0dnqFvATxQ,False,False,True,True,False
263,3,zcbeWwk8iu,1,110,74,n61KiWUBh8,False,False,True,False,False
74,143,tKj1NrZymE,0,7,141,EXZBCVN5Qb,False,False,False,True,False
58,174,68WHXPeGVE,1,127,26,ApirJQvcy7,False,False,True,True,False
46,254,rHjaDd2AFf,1,60,9,bRICf5oOrg,False,False,True,True,False
60,246,VZ1UQzSWfe,0,115,247,8Sr6F2bI3A,False,False,False,True,False
267,165,GEhWlt1w0m,0,148,125,JuGvoCYQ17,False,False,False,True,False
281,216,ElrNLQfI6T,1,298,88,Qe4OriVoLa,False,True,True,True,False
213,53,kW0TaPnme8,1,85,113,sEc2Ze4dHU,False,False,True,True,False
290,192,5JqD4rVQCP,0,15,263,9LydjrBe46,True,False,False,True,False
36,23,m7rGw0fsqg,0,294,237,GYBi1Ew6IH,False,True,False,True,False
141,117,ekasZMih52,1,51,109,K9UCacwgQV,False,False,True,True,False
59,23,XOHiN4pLUc,1,11,122,vgQFV8fz9i,False,False,True,True,False
102,144,sOo8gL2ehq,0,117,6,FUOpA9H513,False,False,False,True,False
138,104,1j8Afa4qKy,1,232,144,2ZxGekMv0E,False,True,True,True,False
90,128,0cdOKkVga3,1,224,95,RTd1pyv7Pl,False,True,True,True,False
178,145,KUkzhZG3JI,0,205,72,LleXvpjYtG,False,True,False,True,False
270,280,XStBH7REvI,0,152,106,qRPKtj2vxc,False,False,False,True,False
139,297,vDt24ENMpC,1,212,255,NReXTaQICG,False,True,True,True,False
69,143,tkh7QdNR1H,1,158,254,SaRP6icgUq,False,False,True,True,False
168,20,Lzk9DtaIpJ,1,150,82,VoJX0IYKZN,False,False,True,True,False
55,227,i6kXb1QBJG,0,30,226,uYOmKIjNT2,False,False,False,True,False
208,128,xX73Tm8dla,0,201,51,wAWftUj2K7,False,True,False,True,False
279,239,jefhaAxrzI,1,235,276,yHClj3JFph,True,True,True,True,False
132,31,SUWbxZKpQA,1,155,59,A6nj74R0ah,False,False,True,True,False
66,281,UZRtHG3cKP,1,55,22,EkZNUqutnB,False,False,True,True,False
83,173,UDwyQOousK,1,205,177,rl7AjTR9CY,False,True,True,True,False
214,82,kDL7Cs2VMF,1,159,286,bydLR0s9J3,True,False,True,True,False
267,283,cQfduNAD06,0,299,119,UMCFbsEf3X,False,True,False,True,False
188,255,gAMqNyJm8O,1,22,270,Ykr4huaOjT,False,False,True,True,False
102,215,JBlV0rigFC,0,277,115,N5CRjKZXfY,False,True,False,True,False
258,292,r47Rinm1hY,1,146,84,FUQ7zqSEfv,False,False,True,True,False
286,252,QsLl3REUMe,1,216,270,3ZRj1bWAyx,True,True,True,True,False
212,247,ko3tF9qy2Z,1,171,57,IQqLWyljtH,False,False,True,True,False
255,36,PY0jwfSnxy,1,250,69,ELpzqHuSVM,False,True,True,True,False
72,264,ehwNGJ246Z,1,134,226,to2B68uLNK,False,False,True,True,False
232,277,AkyGscEhNp,1,253,265,r3ZuK2kp8o,False,True,True,True,False
